#./test/main/nbody-simulation --engine=block \
#--solver=rkdp --stars_count=256 --verbose=1 --block_size=32 --max_time=300 \
#--max_step=1e-4 \
#--min_step=1e-9 \
#--check_step=0.3 \
#--dump_step=0.03 \
#--error_threshold=1e-6 \
#--check_list=PLVE \
#--output=nbody/512-300-1e-4-rkdp 2>nbody512-300-1e-4-rkdp.txt
T	CC	SC	dP	dL	dE
103.5	12745208	27496	2.11E-06	7.084E-09	4.073E-08
103.8	12766208	21000	2.109E-06	7.086E-09	4.073E-08
104.1	13619536	853328	3.366E-06	6.71E-09	2.164E-08
104.4	13640536	21000	3.366E-06	6.71E-09	2.163E-08
104.7	13661536	21000	3.364E-06	6.71E-09	2.164E-08
105	13688360	26824	3.363E-06	6.709E-09	2.164E-08
105.3	13709360	21000	3.359E-06	6.707E-09	2.164E-08
105.6	13735848	26488	3.358E-06	6.706E-09	2.164E-08
105.9	13757856	22008	3.357E-06	6.707E-09	2.164E-08
106.2	13778856	21000	3.358E-06	6.707E-09	2.163E-08
106.5	14619696	840840	2.297E-06	5.229E-09	5.152E-08
106.8	14640696	21000	2.296E-06	5.229E-09	5.151E-08
107.1	14665952	25256	2.299E-06	5.231E-09	5.151E-08
107.4	14686952	21000	2.299E-06	5.231E-09	5.151E-08
107.7	14707952	21000	2.297E-06	5.23E-09	5.151E-08
108	14735448	27496	2.296E-06	5.228E-09	5.151E-08
108.3	14762216	26768	2.297E-06	5.229E-09	5.151E-08
108.6	14783216	21000	2.298E-06	5.23E-09	5.152E-08
108.9	14808808	25592	2.298E-06	5.229E-09	5.152E-08
109.2	15620360	811552	4.697E-06	5.748E-09	8.524E-08
109.5	15641360	21000	4.697E-06	5.748E-09	8.524E-08
109.8	15662360	21000	4.697E-06	5.748E-09	8.523E-08
110.1	15683360	21000	4.697E-06	5.748E-09	8.524E-08
110.4	15710856	27496	4.697E-06	5.746E-09	8.524E-08
110.7	15731856	21000	4.697E-06	5.747E-09	8.524E-08
111	15752856	21000	4.699E-06	5.748E-09	8.524E-08
111.3	15774528	21672	4.697E-06	5.746E-09	8.524E-08
111.6	16562224	787696	3.904E-06	5.688E-09	1.419E-07
111.9	16583224	21000	3.905E-06	5.688E-09	1.419E-07
112.2	16625728	42504	3.905E-06	5.69E-09	1.42E-07
112.5	16646728	21000	3.905E-06	5.69E-09	1.42E-07
112.8	16674224	27496	3.906E-06	5.691E-09	1.42E-07
113.1	16695224	21000	3.906E-06	5.692E-09	1.42E-07
113.4	16716224	21000	3.907E-06	5.693E-09	1.42E-07
113.7	16737224	21000	3.905E-06	5.691E-09	1.42E-07
114	17503192	765968	3.324E-06	5.708E-09	1.004E-07
114.3	17524192	21000	3.323E-06	5.707E-09	1.004E-07
114.6	17545192	21000	3.323E-06	5.707E-09	1.004E-07
114.9	17566192	21000	3.323E-06	5.706E-09	1.004E-07
115.2	17599288	33096	3.323E-06	5.705E-09	1.004E-07
115.5	17620288	21000	3.323E-06	5.705E-09	1.004E-07
115.8	17641288	21000	3.323E-06	5.706E-09	1.004E-07
116.1	17662288	21000	3.322E-06	5.705E-09	1.004E-07
116.4	18419744	757456	3.921E-06	6.134E-09	6.77E-08
116.7	18440744	21000	3.922E-06	6.133E-09	6.77E-08
117	18461744	21000	3.922E-06	6.134E-09	6.77E-08
117.3	18489240	27496	3.922E-06	6.133E-09	6.77E-08
117.6	18510240	21000	3.922E-06	6.134E-09	6.77E-08
117.9	18531240	21000	3.922E-06	6.133E-09	6.77E-08
118.2	18552240	21000	3.922E-06	6.134E-09	6.77E-08
118.5	18578728	26488	3.921E-06	6.135E-09	6.77E-08
118.8	18599728	21000	3.921E-06	6.134E-09	6.77E-08
119.1	19353208	753480	3.805E-06	6.242E-09	8.772E-08
119.4	19386304	33096	3.805E-06	6.241E-09	8.772E-08
119.7	19413800	27496	3.804E-06	6.241E-09	8.771E-08
120	19434800	21000	3.803E-06	6.241E-09	8.772E-08
120.3	19455800	21000	3.802E-06	6.241E-09	8.772E-08
120.6	19476800	21000	3.801E-06	6.242E-09	8.772E-08
120.9	19497800	21000	3.801E-06	6.242E-09	8.772E-08
121.2	19518800	21000	3.801E-06	6.243E-09	8.771E-08
121.5	20270824	752024	3.001E-06	6.115E-09	4.555E-08
121.8	20297144	26320	3.001E-06	6.116E-09	4.554E-08
122.1	20324584	27440	3.001E-06	6.116E-09	4.554E-08
122.4	20345584	21000	3.002E-06	6.116E-09	4.554E-08
122.7	20366584	21000	3.002E-06	6.117E-09	4.555E-08
123	20387584	21000	3.004E-06	6.117E-09	4.554E-08
123.3	20408584	21000	3.005E-06	6.117E-09	4.554E-08
123.6	20429584	21000	3.004E-06	6.117E-09	4.554E-08
123.9	21199976	770392	5.008E-06	6.701E-09	4.767E-08
124.2	21220976	21000	5.008E-06	6.7E-09	4.766E-08
124.5	21248472	27496	5.007E-06	6.699E-09	4.767E-08
124.8	21269472	21000	5.007E-06	6.7E-09	4.767E-08
125.1	21295624	26152	5.008E-06	6.7E-09	4.767E-08
